Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,LEON_CRK_LCPCT2,0.0
2025-06-17 00:29:59,2,LEON_CRK_LCPCT2,0.0
2025-06-17 00:44:59,3,LEON_CRK_LCPCT2,0.0
2025-06-17 00:59:59,4,LEON_CRK_LCPCT2,0.0
2025-06-17 01:14:59,5,LEON_CRK_LCPCT2,0.0
2025-06-17 01:29:59,6,LEON_CRK_LCPCT2,0.0
2025-06-17 01:44:59,7,LEON_CRK_LCPCT2,0.0
2025-06-17 01:59:59,8,LEON_CRK_LCPCT2,0.0
2025-06-17 02:14:59,9,LEON_CRK_LCPCT2,0.0
2025-06-17 02:29:59,10,LEON_CRK_LCPCT2,0.0
2025-06-17 02:44:59,11,LEON_CRK_LCPCT2,0.0
2025-06-17 02:59:59,12,LEON_CRK_LCPCT2,0.0
2025-06-17 03:14:59,13,LEON_CRK_LCPCT2,0.0
2025-06-17 03:29:59,14,LEON_CRK_LCPCT2,0.0
2025-06-17 03:44:59,15,LEON_CRK_LCPCT2,0.0
2025-06-17 03:59:59,16,LEON_CRK_LCPCT2,0.0
2025-06-17 04:14:59,17,LEON_CRK_LCPCT2,0.0
2025-06-17 04:29:59,18,LEON_CRK_LCPCT2,0.0
2025-06-17 04:44:59,19,LEON_CRK_LCPCT2,0.0
2025-06-17 04:59:59,20,LEON_CRK_LCPCT2,0.0
2025-06-17 05:14:59,21,LEON_CRK_LCPCT2,0.0
2025-06-17 05:29:59,22,LEON_CRK_LCPCT2,0.0
2025-06-17 05:44:59,23,LEON_CRK_LCPCT2,0.0
2025-06-17 05:59:59,24,LEON_CRK_LCPCT2,0.0
2025-06-17 06:14:59,25,LEON_CRK_LCPCT2,0.0
2025-06-17 06:29:59,26,LEON_CRK_LCPCT2,0.0
2025-06-17 06:44:59,27,LEON_CRK_LCPCT2,0.0
2025-06-17 06:59:59,28,LEON_CRK_LCPCT2,0.0
2025-06-17 07:14:59,29,LEON_CRK_LCPCT2,0.0
2025-06-17 07:29:59,30,LEON_CRK_LCPCT2,0.0
2025-06-17 07:44:59,31,LEON_CRK_LCPCT2,0.0
2025-06-17 07:59:59,32,LEON_CRK_LCPCT2,0.0
2025-06-17 08:14:59,33,LEON_CRK_LCPCT2,0.0
2025-06-17 08:29:59,34,LEON_CRK_LCPCT2,0.0
2025-06-17 08:44:59,35,LEON_CRK_LCPCT2,0.0
2025-06-17 08:59:59,36,LEON_CRK_LCPCT2,0.0
2025-06-17 09:14:59,37,LEON_CRK_LCPCT2,0.0
2025-06-17 09:29:59,38,LEON_CRK_LCPCT2,0.0
2025-06-17 09:44:59,39,LEON_CRK_LCPCT2,0.0
2025-06-17 09:59:59,40,LEON_CRK_LCPCT2,0.0
2025-06-17 10:14:59,41,LEON_CRK_LCPCT2,0.0
2025-06-17 10:29:59,42,LEON_CRK_LCPCT2,0.0
2025-06-17 10:44:59,43,LEON_CRK_LCPCT2,0.0
2025-06-17 10:59:59,44,LEON_CRK_LCPCT2,0.0
2025-06-17 11:14:59,45,LEON_CRK_LCPCT2,0.0
2025-06-17 11:29:59,46,LEON_CRK_LCPCT2,0.0
2025-06-17 11:44:59,47,LEON_CRK_LCPCT2,0.0
2025-06-17 11:59:59,48,LEON_CRK_LCPCT2,0.0
2025-06-17 12:14:59,49,LEON_CRK_LCPCT2,0.0
2025-06-17 12:29:59,50,LEON_CRK_LCPCT2,0.0
2025-06-17 12:44:59,51,LEON_CRK_LCPCT2,0.0
2025-06-17 12:59:59,52,LEON_CRK_LCPCT2,0.0
2025-06-17 13:14:59,53,LEON_CRK_LCPCT2,8.204072
2025-06-17 13:29:59,54,LEON_CRK_LCPCT2,10.648441
2025-06-17 13:44:59,55,LEON_CRK_LCPCT2,10.688855
2025-06-17 13:59:59,56,LEON_CRK_LCPCT2,3.8517329999
2025-06-17 14:14:59,57,LEON_CRK_LCPCT2,0.0
2025-06-17 14:29:59,58,LEON_CRK_LCPCT2,0.0
2025-06-17 14:44:59,59,LEON_CRK_LCPCT2,0.0
2025-06-17 14:59:59,60,LEON_CRK_LCPCT2,0.0
2025-06-17 15:14:59,61,LEON_CRK_LCPCT2,0.0
2025-06-17 15:29:59,62,LEON_CRK_LCPCT2,0.0
2025-06-17 15:44:59,63,LEON_CRK_LCPCT2,0.0
2025-06-17 15:59:59,64,LEON_CRK_LCPCT2,0.0
2025-06-17 16:14:59,65,LEON_CRK_LCPCT2,0.0
2025-06-17 16:29:59,66,LEON_CRK_LCPCT2,0.0
2025-06-17 16:44:59,67,LEON_CRK_LCPCT2,0.0
2025-06-17 16:59:59,68,LEON_CRK_LCPCT2,0.0
2025-06-17 17:14:59,69,LEON_CRK_LCPCT2,0.0
2025-06-17 17:29:59,70,LEON_CRK_LCPCT2,0.0
